,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,wk_sold_median_base_price_byppg_log,tpr_discount_byppg,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice
2017-12-31,0,0,0,1,3.107347163080027,0.0,0.0,100.0,0.9432418407272181,0.0,3.215075062726826
2018-01-07,0,0,0,1,3.107347163080027,0.0,0.0,100.0,0.8894209204753637,0.0,3.215075062726826
2018-01-14,0,0,0,1,3.107347163080027,0.0,0.0,100.0,0.90807011128781,0.0,3.215075062726826
2018-01-21,0,0,0,1,3.107347163080027,0.0,0.0,100.0,0.9250428138470844,0.0,3.215075062726826
2018-01-28,0,0,0,1,3.09706155143024,0.0,0.0,100.0,0.9316447159332168,16.56735857479192,3.215075062726826
2018-02-04,0,0,0,1,3.087433790014986,0.0,0.0,100.0,0.9589244296226834,0.0,3.232476059001032
2018-02-11,0,0,0,1,3.087433790014986,0.0,0.0,100.0,1.087281111079866,16.49879757840742,3.232476059001032
2018-02-18,0,0,0,1,3.087433790014986,0.0,0.0,100.0,1.11344768462058,0.0,3.245850115112785
2018-04-01,0,0,0,1,3.060449553665232,0.0,0.0,100.0,0.8376264713828472,8.757687959335748,3.256056928617122
2018-04-08,0,0,0,1,3.074032687705201,0.0,0.0,100.0,0.9221955899076488,6.293657280924614,3.256056928617122
2018-04-15,0,0,0,1,3.074032687705201,0.0,0.0,100.0,0.9408312111182648,0.0,3.256056928617122
2018-04-22,0,0,0,1,3.074032687705201,15.85714306150164,0.98,100.0,0.9445399254326596,0.0,3.248122250686972
2018-04-29,0,0,0,1,3.074032687705201,37.00000047683716,0.98,100.0,0.9528341044868488,0.0,3.245850115112785
2018-05-06,0,0,0,1,3.074032687705201,37.00000047683716,0.98,100.0,0.9511377401797212,0.0,3.248122250686972
2018-05-13,0,0,0,1,3.074032687705201,37.00000047683716,0.98,100.0,0.942901123103596,8.714456226734946,3.248122250686972
2018-05-20,0,0,0,1,3.074032687705201,21.14285741533552,0.98,100.0,0.9263982407685368,13.05698367764603,3.248122250686972
2018-05-27,0,0,1,1,3.074032687705201,0.0,0.0,100.0,0.9285709571154358,14.68422388611305,3.248122250686972
2018-06-03,0,0,0,1,3.05523862262012,0.0,0.0,100.0,0.9459715121940688,11.02129367486586,3.248122250686972
2018-06-10,0,0,0,1,3.060449553665232,0.0,0.0,100.0,0.9852919758700588,0.0,3.256056928617122
2018-06-17,0,0,0,1,3.124689152529532,0.0,0.0,100.0,0.9279827236996584,0.0,3.225737663172621
2018-06-24,0,0,0,1,3.185049945174066,0.0,0.0,100.0,0.9544068445637592,8.061828049808007,3.225737663172621
2018-07-01,0,0,0,1,3.185049945174066,0.0,0.0,100.0,1.002604477098611,11.13526047366882,3.225737663172621
2018-07-08,0,0,0,1,3.185049945174066,0.0,0.0,100.0,1.049753579607072,10.44729322953544,3.225737663172621
2018-07-15,0,0,0,1,3.185049945174066,0.0,0.0,100.0,1.005852655567318,6.086974430151603,3.225737663172621
2018-07-22,0,0,0,1,3.185049945174066,0.0,0.0,100.0,0.947246818490748,12.44321174392238,3.225737663172621
2018-07-29,0,0,0,1,3.19132713366374,0.0,0.0,100.0,0.9451276002971496,0.0,3.225737663172621
2018-08-05,0,0,0,1,3.19132713366374,0.0,0.0,100.0,0.9494087174303384,0.0,3.225737663172621
2018-08-12,0,0,0,1,3.19132713366374,0.0,0.0,100.0,0.9537982716136136,0.0,3.225737663172621
2018-08-19,0,0,0,1,3.191427093142721,0.0,0.0,100.0,0.9912549881923176,0.0,3.228082561748884
2018-08-26,0,0,0,1,3.192526587668553,0.0,0.0,100.0,1.060583399171539,8.683378310547173,3.228082561748884
2018-09-02,0,0,0,1,3.192526587668553,0.0,0.0,100.0,0.998740887392874,13.81303771210936,3.228082561748884
2018-09-09,0,0,0,1,3.192526587668553,0.0,0.0,100.0,1.037908229044993,13.51943853613963,3.228082561748884
2018-09-16,0,0,0,1,3.192526587668553,0.0,0.0,100.0,0.98532192811704,11.31130347673963,3.228082561748884
2018-09-23,0,0,0,1,3.188338622957277,0.0,0.0,100.0,0.9641828680549396,7.282490744092983,3.228082561748884
2018-09-30,0,0,0,1,3.188338622957277,14.1428577048438,0.97,99.57264957264955,0.9753439174496024,5.124441270596947,3.228082561748884
2018-10-07,0,0,0,1,3.188338622957277,33.00000131130219,0.97,99.57264957264955,1.046001952859095,0.0,3.225737663172621
2018-10-14,0,0,0,1,3.188338622957277,18.8571436064584,0.97,99.57264957264955,1.013377336060051,0.0,3.2170142047215
2018-10-21,0,0,0,1,3.188338622957277,0.0,0.0,99.57264957264955,0.9939443554172048,0.0,3.215151727299862
2018-10-28,0,0,0,1,3.188338622957277,0.0,0.0,100.0,1.022675827207316,7.290277031798231,3.215151727299862
2018-11-04,0,0,0,1,3.1800216246803,0.0,0.0,100.0,1.044601993083796,12.42743183468732,3.215151727299862
2018-11-11,0,0,0,1,3.1800216246803,0.0,0.0,100.0,1.010469771426408,8.5377621028078,3.215151727299862
2018-11-18,0,0,0,1,3.1800216246803,0.0,0.0,100.0,1.008520965398652,5.187501765364244,3.215151727299862
2018-11-25,0,0,0,1,3.1800216246803,14.1428577048438,0.97,99.59183673469387,1.029241273742237,0.0,3.213813280544521
2018-12-02,0,0,0,1,3.1800216246803,33.00000131130219,0.97,99.59016393442623,1.038866576656901,0.0,3.213813280544521
2018-12-09,0,0,0,1,3.1800216246803,18.8571436064584,0.97,99.59016393442623,1.131459272836175,12.5465051209007,3.213813280544521
2018-12-16,0,0,0,1,3.1800216246803,0.0,0.0,99.59016393442623,1.147562970306972,13.92562294366073,3.213813280544521
2018-12-23,0,0,0,1,3.1800216246803,0.0,0.0,99.59016393442623,1.437217847165719,13.91188062758103,3.213813280544521
2018-12-30,0,0,0,2,3.157767468985293,0.0,0.0,100.0,0.9432418407272181,10.25355578819197,3.213813280544521
2019-01-06,0,0,0,2,3.157767468985293,0.0,0.0,100.0,0.8894209204753637,7.584578592698077,3.213813280544521
2019-01-13,0,0,0,2,3.157767468985293,0.0,0.0,100.0,0.90807011128781,11.37647323549267,3.213813280544521
2019-01-20,0,0,0,2,3.157767468985293,0.0,0.0,100.0,0.9250428138470844,0.0,3.209099935321003
2019-01-27,0,0,0,2,3.167932131895335,0.0,0.0,100.0,0.9316447159332168,0.0,3.208747513265118
2019-02-03,0,0,0,2,3.167932131895335,0.0,0.0,100.0,0.9589244296226834,0.0,3.209099935321003
