Nielsen SKU Name,Year,PPG Name,Retailer,DATE,Level,Activity name,Mechanic,"Discount, NRV %",Weeknum,TE Off Inv,TE On Inv,COGS,GMAC,PPG,List Price Nov 2019 Price per PC,List Price July 2020 Price per PC,List_Price
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021,A.Korkunov 110g,Magnit,2021-11-14,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,46,0.05,0.2436,83.85714285714285,0.502124663912944,A.Korkunov 110g,168.43,168.43,168.43
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021,A.Korkunov 110g,Magnit,2021-11-21,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,47,0.05,0.2436,83.85714285714285,0.502124663912944,A.Korkunov 110g,168.43,168.43,168.43
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021,A.Korkunov 110g,Magnit,2021-11-28,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,48,0.05,0.2436,83.85714285714285,0.502124663912944,A.Korkunov 110g,168.43,168.43,168.43
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021,A.Korkunov 110g,Magnit,2021-12-05,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,49,0.05,0.2436,83.85714285714285,0.502124663912944,A.Korkunov 110g,168.43,168.43,168.43
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021,A.Korkunov 110g,Magnit,2021-12-12,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,50,0.05,0.2436,83.85714285714285,0.502124663912944,A.Korkunov 110g,168.43,168.43,168.43
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021,A.Korkunov 110g,Magnit,2021-12-19,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,51,0.05,0.2436,83.85714285714285,0.502124663912944,A.Korkunov 110g,168.43,168.43,168.43
KORKUNOV ASSORT A DARK&MLK.CHOC.COAT ASR. 0.11KG K A,2021,A.Korkunov 110g,Magnit,2021-12-26,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,52,0.05,0.2436,83.85714285714285,0.502124663912944,A.Korkunov 110g,168.43,168.43,168.43
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-01-03,NA,20_New Year Multibrand_20_New Year Multibrand,Single price off % discount,0.3,1,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-01-10,NA,20_New Year Multibrand_20_New Year Multibrand,Single price off % discount,0.3,2,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-02-07,NA,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,Single price off % discount,0.3,6,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-02-14,NA,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,Single price off % discount,0.3,7,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-02-21,NA,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,Single price off % discount,0.3,8,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-02-28,NA,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,Single price off % discount,0.3,9,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-03-07,NA,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,Single price off % discount,0.3,10,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-04-25,NA,21_MAY (LAST BELL/GRADUATION)_21_MAY (LAST BELL/GRADUATION),Single price off % discount,0.3,17,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-05-02,NA,21_MAY (LAST BELL/GRADUATION)_21_MAY (LAST BELL/GRADUATION),Single price off % discount,0.3,18,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-05-09,NA,21_MAY (LAST BELL/GRADUATION),Single price off % discount,0.3,19,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-08-15,NA,21_B2S MULTIBRAND,Single price off % discount,0.3,33,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-08-22,NA,21_B2S MULTIBRAND,Single price off % discount,0.3,34,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-08-29,NA,21_B2S MULTIBRAND,Single price off % discount,0.3,35,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-09-19,NA,21_TEACHER'S DAY_21_TEACHER'S DAY,Single price off % discount,0.3,38,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-09-26,NA,21_TEACHER'S DAY_21_TEACHER'S DAY,Single price off % discount,0.3,39,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-10-03,NA,21_TEACHER'S DAY_21_TEACHER'S DAY,Single price off % discount,0.3,40,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-10-10,NA,21_TEACHER'S DAY_21_TEACHER'S DAY,Single price off % discount,0.3,41,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-10-17,NA,21_TEACHER'S DAY_21_TEACHER'S DAY,Single price off % discount,0.3,42,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-11-14,NA,21_NEW YEAR MULTIBRAND_21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,46,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-11-21,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,47,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-11-28,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,48,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-12-05,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,49,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
KORKUNOV ASSORT A D.CH.COAT ASR. 0.192KG K A,2021,A.Korkunov 192g,Magnit,2021-12-12,NA,21_NEW YEAR MULTIBRAND,Single price off % discount,0.3,50,0.05,0.2436,120.92499999999998,0.5633846042749856,A.Korkunov 192g,276.96,276.96,276.96
