Account Name,Corporate Segment,PPG,Brand Filter,Brand Format Filter,Strategic Cell Filter,Nielsen SKU Name,Date,Year,Month,Quarter,Week,Period,Activity name,Mechanic,"Discount, NRV %",TE Off Inv,TE On Inv,COGS,GMAC,List Price Nov 2019 Price per PC,List Price July 2020 Price per PC,List_Price,Promo_Depth,Flag_promotype_N_pls_1,Coinvestment
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-01-02,2022,1,1,1,P01,,,0.0,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,0.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-01-09,2022,1,1,2,P01,Tactical Promo_Tactical Promo,Single price off % discount,0.15,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,15.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-01-16,2022,1,1,3,P01,Tactical Promo_Tactical Promo,Single price off % discount,0.15,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,15.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-01-23,2022,1,1,4,P01,,,0.0,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,0.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-01-30,2022,2,1,5,P02,,,0.0,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,0.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-02-06,2022,2,1,6,P02,,,0.0,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,0.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-02-13,2022,2,1,7,P02,,,0.0,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,0.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-02-20,2022,2,1,8,P02,,,0.0,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,0.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-02-27,2022,3,1,9,P03,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,Single price off % discount,0.15,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,15.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-03-06,2022,3,1,10,P03,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,Single price off % discount,0.15,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,15.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-03-13,2022,3,1,11,P03,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,Single price off % discount,0.15,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,15.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-03-20,2022,3,1,12,P03,,,0.0,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,0.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-03-27,2022,3,1,13,P04,,,0.0,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,0.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-04-03,2022,4,2,14,P04,,,0.0,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,0.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-04-10,2022,4,2,15,P04,21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.15,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,15.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-04-17,2022,4,2,16,P04,21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.15,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,15.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-04-24,2022,4,2,17,P05,21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.15,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,15.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-05-01,2022,5,2,18,P05,21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.15,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,15.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-05-08,2022,5,2,19,P05,21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.15,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,15.0,0,0
Lenta,LOOSE,Loose,Multi,Multi,Loose and Bags,MARS(MARS) MINIS CARML&NGT 1KG,2022-05-15,2022,5,2,20,P05,,,0.0,0.05,0.1993,91.91894448461231,0.8140662659809121,452.01,494.364,494.364,0.0,0,0
